id,ppq,siae,temperature_lapse_rate,refreeze_factor,pdd_factor_ice,pdd_factor_snow,pdd_std_dev,climate,climate_file,climate_modifier_file,anomaly_file
MIROC-ESM-0,0.5,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-1,0.5,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-2,0.5,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-3,0.5,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-4,0.5,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-5,0.5,1.5,6,0.5,10.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-6,0.5,1.5,6,0.5,11.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-7,0.5,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-8,0.5,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-9,0.6,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-10,0.6,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-11,0.6,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-12,0.6,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-13,0.6,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-14,0.6,1.5,6,0.5,10.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-15,0.6,1.5,6,0.5,11.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-16,0.6,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MIROC-ESM-17,0.6,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MIROC-ESM_lgm_historical.nc
MPI-ESM-P-0,0.5,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-1,0.5,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-2,0.5,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-3,0.5,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-4,0.5,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-5,0.5,1.5,6,0.5,10.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-6,0.5,1.5,6,0.5,11.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-7,0.5,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-8,0.5,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-9,0.6,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-10,0.6,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-11,0.6,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-12,0.6,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
